"allSitesI","allSitesP","wetDominatedI","wetDominatedP","mixedI","mixedP","agDominatedI","adDominatedP","Var"
-0.016,0.86,-0.205,0.105,0.065,0.111,0.569,0.001,"DOC"
0.025,0.198,-0.203,0.125,0.055,0.141,-0.628,0,"A350"
-0.012,0.788,-0.011,0.472,-0.1,0.43,-0.237,0.098,"SR"
-0.033,0.772,-0.152,0.332,-0.05,0.947,-0.71,0,"BA"
0.099,0.001,0.165,0.006,0.109,0.014,-0.61,0.032,"FI"
0.009,0.382,-0.091,0.81,0.01,0.406,0.015,0.131,"HIXOHNO"
-0.026,0.941,-0.146,0.323,-0.041,0.951,-0.102,0.728,"C1"
-0.052,0.446,-0.145,0.386,-0.08,0.614,-0.154,0.953,"C2"
-0.069,0.229,-0.008,0.462,-0.267,0.002,-0.42,0.199,"C3"
-0.053,0.435,-0.089,0.831,-0.025,0.77,-0.574,0.007,"C4"
-0.06,0.33,0.012,0.319,-0.068,0.752,-0.178,0.956,"C5"
-0.08,0.132,-0.086,0.859,-0.138,0.181,-0.155,0.957,"C6"
-0.005,0.649,-0.041,0.714,-0.063,0.8,-0.387,0.286,"C7"
0.06,0.033,-0.003,0.429,-0.058,0.858,0.081,0.004,"SUVA254"
0.019,0.159,-0.048,0.662,-0.064,0.835,-0.187,0.643,"DISC"
-0.012,0.73,-0.105,0.646,-0.031,0.613,-0.15,0.895,"DO"
-0.043,0.587,-0.107,0.665,-0.075,0.645,-0.137,0.895,"pH"
-0.024,0.966,-0.133,0.402,-0.026,0.768,-0.191,0.916,"S.COND"
0.019,0.282,-0.134,0.467,-0.011,0.623,-0.056,0.605,"SRP"
0.005,0.458,-0.098,0.723,0.015,0.374,-0.174,0.887,"TDN"
0.071,0.016,-0.162,0.299,0.026,0.317,-0.154,0.79,"TDP"
0.012,0.33,-0.141,0.41,-0.028,0.13,-0.165,0.994,"TEMP"
0.132,0,-0.046,0.768,0.191,0.001,-0.236,0.12,"TP"
-0.023,0.991,-0.103,0.711,-0.078,0.596,-0.016,0.033,"TSS"
-0.018,0.909,0.091,0.058,-0.109,0.363,-0.167,0.998,"A254"
0.029,0.177,0.126,0.017,0.039,0.231,0.04,0.255,"Cth"
-0.029,0.869,-0.043,0.741,-0.038,0.911,-0.147,0.922,"Cmh"
-0.005,0.649,-0.041,0.714,-0.063,0.8,-0.387,0.286,"Cmp"
-0.053,0.435,-0.089,0.831,-0.025,0.77,-0.574,0.007,"Cf"
