num_id,lat,lon
1,44.27238,-78.6243
2,44.39833,-78.8113
3,44.49247,-78.8356
4,44.4593,-78.8199
5,44.48143,-78.9415
6,44.39702,-79.071
7,44.33257,-78.9405
8,44.24166667,-78.98166667
9,44.28548,-78.7765
10,44.4351,-79.1271
11,44.4982,-79.1546
12,44.56068,-79.4391
13,44.5119,-79.5021
14,44.11333,-79.5445
15,44.22385,-79.4212
16,44.20777,-79.3215
17,44.25162,-79.2626
18,44.24498,-79.1562
19,44.32765,-78.7301
23,44.58538,-78.5941
27,44.02475,-79.9698
28,44.10033,-79.9372
29,44.46181,-78.6228
31,44.24069,-79.0473
32,44.12356,-79.7595
34,44.13008,-79.7274
35,44.14997,-79.7242
36,44.32122,-78.2656
37,44.16961,-78.4686
38,44.26722,-78.4686
39,44.15301,-79.9147
40,44.16631,-79.9204
42,44.06103,-79.6289
43,44.22804,-78.6039
44,44.58751,-79.6655
45,44.22825,-78.3859
46,44.14369,-78.7784
47,43.22713,-81.5225
48,43.2206,-81.2368
49,43.9634,-79.8608
50,44.42735,-78.1359
51,44.07321,-79.0049
53,42.86993,-81.769
54,44.13282,-81.3204
55,43.2486,-80.6409
