"CTotalCrop","RTotal.Crop","CWetlaNA","RWetlaNA","Cmono","TDPavg","TDNavg","DOCavg","TPavg","TSSavg","SiteNum","landUse"
41.81,27.31,15.64,36.1,23.2,16.54693167025,609.679720144444,8.06165729133333,26.20271417675,2.61902498047059,"1","wetDominated"
31.64,29.02,13.17,18.9,19.5,28.82772084075,1286.64437810714,10.7710818339545,45.280955386878,5.03923385627273,"2","mixed"
22.53,16.77,28.78,48.3,3.4,12.791967927359,624.288902555556,11.7160752337111,15.3446721726154,1.69178440868571,"3","wetDominated"
30.1,26.12,12.68,22.5,6.8,12.6964244766667,629.90668435,11.5377226367045,21.8071515081463,5.28378622220588,"4","wetDominated"
32.38,33.61,14.98,29.3,18.5,19.3367991065789,754.567509607407,16.5913663535227,39.4384529984615,6.03753384082353,"5","wetDominated"
55.83,37.1,19.14,38.9,18.3,16.00101155325,1341.47111806296,10.7196840426667,24.1324037204878,5.17755573594444,"6","mixed"
18.76,10.19,26.06,58.7,10.7,15.3048134961,926.946491607143,15.5347284307609,21.7876651071429,2.65162712963889,"7","mixed"
44.21,13.56,24.34,60.9,12.5,23.4581661917949,1230.31095318519,12.7069193043182,50.00412149225,5.18054480826471,"8","mixed"
32.41,32.35,12.24,24.1,22.7,15.05109404625,1299.53384172308,9.96792835195349,22.7808918152195,3.50198301644118,"9","mixed"
59.26,54.3,18.99,24.1,23.3,11.413991371675,1671.1822898,10.6003559533182,27.6438017086585,10.2212326242857,"10","mixed"
40.64,31.35,21.99,34.9,18.3,9.83949873510526,423.795042884,6.18521968867442,17.41157813345,2.76738683454286,"11","wetDominated"
47.1,28.28,5.61,24.5,17,8.862472552,1215.99202996429,4.38296180027273,13.221314059875,3.34621728894444,"12","mixed"
32.55,15.66,23.36,63.9,11.7,8.34580421371428,750.805167407143,6.99632519280435,14.1105932924048,3.02943136224324,"13","wetDominated"
42.13,34.75,10.97,17.8,21.7,37.759307651282,1273.78913812963,9.23090827130233,94.6517606687179,12.8927238184,"14","mixed"
66.2,56.13,11.39,23.2,30,54.9692261956757,1510.76321851852,17.1060295187619,87.6533084646579,7.83039318431429,"15","mixed"
38.75,27.59,18.03,28.4,17.7,22.6116097673684,1129.61481665385,7.876017025,39.126774573,8.00178835252941,"16","mixed"
36.97,16.75,43.2,68.4,16.6,55.968636895,1195.43638785185,27.3123142673043,165.855996026829,34.3589010957353,"17","mixed"
47.57,27.58,12.98,32.2,21.1,19.3816865040256,989.433679464286,7.23357289036364,33.2357716517073,3.45155017011429,"18","mixed"
36.72,27.23,17.59,31.9,18.1,12.6121467067895,998.260472096296,10.5401643194419,32.97463562725,4.54653916265625,"19","mixed"
13.62,7.61,22.75,59.1,3.6,9.11510541730556,276.3139537625,7.21789407079545,12.1837643958,1.2578432785,"23","wetDominated"
28.7,21.2,11.31,27.4,22.2,9.02316395847368,1053.175239275,4.89781734593023,22.3686283493077,8.92952505916216,"27","mixed"
29.63,25.33,0.01,0,21.7,7.79389656168293,927.924544978571,3.73484766002326,30.665392794,15.6522592662,"28","mixed"
