"allSitesI","allSitesP","wetDominatedI","wetDominatedP","mixedI","mixedP","agDominatedI","adDominatedP","Var"
0.083,0.004,-0.118,0.7,0.102,0.004,0.022,0.143,"DOC"
0.073,0.007,-0.121,0.702,0.083,0.011,-0.041,0.221,"A350"
-0.032,0.785,-0.073,0.538,-0.028,0.873,-0.062,0.484,"SR"
0.187,0,-0.148,0.902,0.043,0.107,-0.078,0.681,"BA"
0.156,0,-0.31,0.368,0.023,0.221,-0.015,0.464,"FI"
-0.008,0.699,-0.08,0.381,-0.062,0.565,-0.09,0.755,"HIXOHNO"
0.045,0.061,-0.112,0.674,0.027,0.182,-0.071,0.36,"C1"
0.069,0.015,-0.088,0.617,0.05,0.069,-0.051,0.29,"C2"
0.023,0.142,-0.141,0.783,0.035,0.128,-0.056,0.257,"C3"
0.038,0.091,-0.108,0.653,0.008,0.35,-0.086,0.476,"C4"
0.034,0.127,-0.083,0.577,0.014,0.299,-0.071,0.39,"C5"
0.02,0.187,-0.151,0.876,0.029,0.184,0.061,0.089,"C6"
0.097,0.002,-0.113,0.722,0.15,0,0.124,0.068,"C7"
0.07,0.016,-0.242,0.58,-0.009,0.593,-0.148,0.967,"SUVA254"
0.082,0.005,-0.074,0.554,-0.015,0.675,-0.032,0.496,"DO"
0.177,0,-0.023,0.339,0.213,0,0.127,0.106,"pH"
0.167,0,-0.145,0.892,0.071,0.022,0.179,0.053,"S.COND"
0.087,0.003,-0.146,0.561,-0.017,0.713,-0.097,0.762,"SRP"
0.223,0,-0.189,0.873,0.085,0.004,0.379,0.003,"TDN"
0.076,0.007,-0.142,0.61,-0.027,0.875,-0.07,0.646,"TDP"
0.053,0.045,-0.135,0.828,0.104,0.003,-0.311,0.208,"TEMP"
0.049,0.039,-0.135,0.251,-0.007,0.562,-0.193,0.779,"TP"
0.198,0,-0.12,0.251,0.334,0,-0.133,0.953,"TSS"
0.066,0.014,-0.114,0.653,0.083,0.009,-0.053,0.265,"A254"
0.045,0.058,-0.122,0.725,0.038,0.117,-0.059,0.299,"Cth"
0.021,0.21,-0.133,0.779,0.021,0.242,0.009,0.121,"Cmh"
0.097,0.002,-0.113,0.722,0.15,0,0.124,0.068,"Cmp"
0.038,0.091,-0.108,0.653,0.008,0.35,-0.086,0.476,"Cf"
