"Variable","Group","S","pVal"
"DOCallsites","DOCallsites",0.250886197367972,0.001
"DOCwetDominated","DOCwetDominated",0.415390748686818,0.001
"DOCmixed","DOCmixed",0.230986955404322,0.001
"DOCagDominated","DOCagDominated",0.326114419692682,0.001
"A350allsites","A350allsites",0.238845160486307,0.001
"A350wetDominated","A350wetDominated",0.282080113407941,0.001
"A350mixed","A350mixed",0.273789900337332,0.001
"A350agDominated","A350agDominated",0.205935421781993,0.001
"BAallsites","BAallsites",0.496284331639564,0.001
"BAwetDominated","BAwetDominated",0.736140424850364,0.001
"BAmixed","BAmixed",0.404194461841759,0.001
"BAagDominated","BAagDominated",0.476506691090822,0.001
"C1allsites","C1allsites",0.494475864501137,0.001
"C1wetDominated","C1wetDominated",0.263091276940599,0.001
"C1mixed","C1mixed",0.446769500623723,0.001
"C1agDominated","C1agDominated",0.559539942693819,0.001
"C2allsites","C2allsites",0.91688133034243,0.001
"C2wetDominated","C2wetDominated",0.909643023114004,0.001
"C2mixed","C2mixed",0.83312124880162,0.001
"C2agDominated","C2agDominated",0.848976694195866,0.001
"C3allsites","C3allsites",0.433755172560993,0.001
"C3wetDominated","C3wetDominated",0.571285380421832,0.001
"C3mixed","C3mixed",0.367946658224472,0.001
"C3agDominated","C3agDominated",0.358910248823141,0.001
"C4allsites","C4allsites",0.143996709596553,0.001
"C4wetDominated","C4wetDominated",0.22951909954552,0.002
"C4mixed","C4mixed",0.137902339613721,0.001
"C4agDominated","C4agDominated",0.142671264510274,0.014
"C5allsites","C5allsites",0.851963254298876,0.001
"C5wetDominated","C5wetDominated",0.917277572718942,0.001
"C5mixed","C5mixed",0.748867629888757,0.001
"C5agDominated","C5agDominated",0.737002219098349,0.001
"C6allsites","C6allsites",0.823852030657488,0.001
"C6wetDominated","C6wetDominated",0.855541357205673,0.001
"C6mixed","C6mixed",0.710835278658265,0.001
"C6agDominated","C6agDominated",0.744425419108957,0.001
"C7allsites","C7allsites",0.196961216430893,0.001
"C7wetDominated","C7wetDominated",0.0948739096027965,0.147
"C7mixed","C7mixed",0.245403339240723,0.001
"C7agDominated","C7agDominated",0.201664981469306,0.001
"E280allsites","E280allsites",0.586556068716437,0.001
"E280wetDominated","E280wetDominated",0.206910063852636,0.001
