"Label","Group","S","pVal","n","LUgroup","var"
"DOC_allsites",NA,0.285476700653731,0.001,405,"allsites","DOC"
"DOC_wetDominated",NA,0.277372862318856,0.001,225,"wetDominated","DOC"
"DOC_mixed",NA,0.37175608591043,0.001,276,"mixed","DOC"
"DOC_agDominated",NA,0.384452788740765,0.001,119,"agDominated","DOC"
"A350_allsites",NA,0.226709937750996,0.001,315,"allsites","A350"
"A350_wetDominated",NA,0.234496459894251,0.001,210,"wetDominated","A350"
"A350_mixed",NA,0.308438277382834,0.001,184,"mixed","A350"
"A350_agDominated",NA,0.114491045204082,0.052,105,"agDominated","A350"
"SR_allsites",NA,0.341406548386704,0.001,360,"allsites","SR"
"SR_wetDominated",NA,0.33543148209842,0.001,225,"wetDominated","SR"
"SR_mixed",NA,0.358417492798168,0.001,207,"mixed","SR"
"SR_agDominated",NA,0.226734660972895,0.002,112,"agDominated","SR"
"BA_allsites",NA,0.783334446205345,0.001,315,"allsites","BA"
"BA_wetDominated",NA,0.791874861244136,0.001,210,"wetDominated","BA"
"BA_mixed",NA,0.838452980918482,0.001,184,"mixed","BA"
"BA_agDominated",NA,0.525730801137293,0.001,105,"agDominated","BA"
"FI_allsites",NA,0.738572985110783,0.001,315,"allsites","FI"
"FI_wetDominated",NA,0.520855332073532,0.001,210,"wetDominated","FI"
"FI_mixed",NA,0.730543176358794,0.001,184,"mixed","FI"
"FI_agDominated",NA,0.422669589800027,0.001,105,"agDominated","FI"
"HIXOHNO_allsites",NA,0.141572295740294,0.001,270,"allsites","HIXOHNO"
"HIXOHNO_wetDominated",NA,0.160548124655249,0.001,195,"wetDominated","HIXOHNO"
"HIXOHNO_mixed",NA,0.318931007166112,0.001,161,"mixed","HIXOHNO"
"HIXOHNO_agDominated",NA,0.19095978295617,0.007,98,"agDominated","HIXOHNO"
"C1_allsites",NA,0.212154673276499,0.001,315,"allsites","C1"
"C1_wetDominated",NA,0.132050471225632,0.001,195,"wetDominated","C1"
"C1_mixed",NA,0.277318339862207,0.001,184,"mixed","C1"
"C1_agDominated",NA,0.00455676035794953,0.94,91,"agDominated","C1"
"C2_allsites",NA,0.20583898978221,0.001,315,"allsites","C2"
"C2_wetDominated",NA,0.0990928171797233,0.005,195,"wetDominated","C2"
"C2_mixed",NA,0.334499181901728,0.001,184,"mixed","C2"
"C2_agDominated",NA,0.112122557297962,0.058,91,"agDominated","C2"
"C3_allsites",NA,0.458031925184611,0.001,315,"allsites","C3"
"C3_wetDominated",NA,0.467630325701381,0.001,195,"wetDominated","C3"
"C3_mixed",NA,0.446253458847851,0.001,184,"mixed","C3"
"C3_agDominated",NA,0.0736197751542446,0.243,91,"agDominated","C3"
"C4_allsites",NA,0.173405349918068,0.001,315,"allsites","C4"
"C4_wetDominated",NA,0.0685106234755045,0.019,195,"wetDominated","C4"
"C4_mixed",NA,0.278119508669554,0.001,184,"mixed","C4"
"C4_agDominated",NA,-0.00303969151401802,0.953,91,"agDominated","C4"
"C5_allsites",NA,0.294531613214662,0.001,315,"allsites","C5"
"C5_wetDominated",NA,0.174772730150596,0.001,195,"wetDominated","C5"
"C5_mixed",NA,0.427155117274367,0.001,184,"mixed","C5"
"C5_agDominated",NA,0.229681767353739,0.007,91,"agDominated","C5"
"C6_allsites",NA,0.855010240163835,0.001,315,"allsites","C6"
"C6_wetDominated",NA,0.791412815005449,0.001,195,"wetDominated","C6"
"C6_mixed",NA,0.740576012093437,0.001,184,"mixed","C6"
"C6_agDominated",NA,0.543283166404809,0.001,91,"agDominated","C6"
"C7_allsites",NA,0.194039843461215,0.001,315,"allsites","C7"
"C7_wetDominated",NA,0.196279709447689,0.001,195,"wetDominated","C7"
"C7_mixed",NA,0.234213796287244,0.001,184,"mixed","C7"
"C7_agDominated",NA,0.113391466393191,0.063,91,"agDominated","C7"
"SUVA254_allsites",NA,0.365861434189399,0.001,360,"allsites","SUVA254"
"SUVA254_wetDominated",NA,0.403912466732023,0.001,210,"wetDominated","SUVA254"
"SUVA254_mixed",NA,0.288220095682114,0.001,207,"mixed","SUVA254"
"SUVA254_agDominated",NA,0.425018212350857,0.001,112,"agDominated","SUVA254"
"DO_allsites",NA,0.492207549359139,0.001,360,"allsites","DO"
"DO_wetDominated",NA,0.409913699419072,0.001,225,"wetDominated","DO"
"DO_mixed",NA,0.417249716175919,0.001,253,"mixed","DO"
"DO_agDominated",NA,0.41563572380824,0.001,112,"agDominated","DO"
"pH_allsites",NA,0.38330806997216,0.001,264,"allsites","pH"
"pH_wetDominated",NA,0.203600153091279,0.001,168,"wetDominated","pH"
"pH_mixed",NA,0.271574905735989,0.001,207,"mixed","pH"
"pH_agDominated",NA,0.327032123953318,0.001,91,"agDominated","pH"
"S.COND_allsites",NA,0.155868059424489,0.001,360,"allsites","S.COND"
