ASN.SITE.NO,DAY,MONTH,YEAR,DOC,A350,SR,BA,FI,HIX,HIXOHNO,C1,C2,C3,C4,C5,C6,C7,SUVA254,CHL,DISC,DO,FieldNotes,NH4,NO3,pH,SAL,S.COND,SRP,TDN,TDP,TEMP,TP,TSS,DIC,A254,DO.PER,PP,PN,PC,C1.Per,C2.Per,C3.Per,C4.Per,C5.Per,C6.Per,C7.Per
1,,10,2004,9.233,,,,,,,,,,,,,,,,,,,,,7.66,,241,,,,,20.76467,,,,,,,,,,,,,,
2,,10,2004,12.51,,,,,,,,,,,,,,,,,,,,,7.78,,297,,,,,10.76035,,,,,,,,,,,,,,
3,,10,2004,11.8,,,,,,,,,,,,,,,,,,,,,7.63,,189,,,,,0.89675,,,,,,,,,,,,,,
4,,10,2004,13.44,,,,,,,,,,,,,,,,,,,,,7.81,,323,,,,,5.83243,,,,,,,,,,,,,,
5,,10,2004,18.21,,,,,,,,,,,,,,,,,,,,,7.51,,366,,,,,13.51067,,,,,,,,,,,,,,
6,,10,2004,10.58,,,,,,,,,,,,,,,,,,,,,8.05,,363,,,,,2.54715,,,,,,,,,,,,,,
7,,10,2004,14.14,,,,,,,,,,,,,,,,,,,,,7.89,,382,,,,,3.60827,,,,,,,,,,,,,,
8,,10,2004,9.885,,,,,,,,,,,,,,,,,,,,,7.71,,344,,,,,13.09419,,,,,,,,,,,,,,
9,,10,2004,12.32,,,,,,,,,,,,,,,,,,,,,7.86,,379,,,,,5.50235,,,,,,,,,,,,,,
10,,10,2004,14.16,,,,,,,,,,,,,,,,,,,,,8.22,,405,,,,,11.10595,,,,,,,,,,,,,,
11,,10,2004,6.114,,,,,,,,,,,,,,,,,,,,,8.38,,151,,,,,3.60827,,,,,,,,,,,,,,
12,,10,2004,3.075,,,,,,,,,,,,,,,,,,,,,8.39,,289,,,,,1.22683,,,,,,,,,,,,,,
13,,10,2004,5.951,,,,,,,,,,,,,,,,,,,,,8.11,,268,,,,,2.2164,,,,,,,,,,,,,,
14,,10,2004,7.214,,,,,,,,,,,,,,,,,,,,,7.98,,472,,,,,11.67195,,,,,,,,,,,,,,
15,,10,2004,15.88,,,,,,,,,,,,,,,,,,,,,8.01,,618,,,,,101.17331,,,,,,,,,,,,,,
16,,10,2004,5.361,,,,,,,,,,,,,,,,,,,,,8.33,,332,,,,,19.37347,,,,,,,,,,,,,,
17,,10,2004,15.24,,,,,,,,,,,,,,,,,,,,,7.63,,291,,,,,28.06627,,,,,,,,,,,,,,
18,,10,2004,4.567,,,,,,,,,,,,,,,,,,,,,8.25,,360,,,,,8.30803,,,,,,,,,,,,,,
19,,10,2004,10.49,,,,,,,,,,,,,,,,,,,,,8.46,,275,,,,,6.40619,,,,,,,,,,,,,,
20,,10,2004,18.89,,,,,,,,,,,,,,,,,,,,,5.08,,15.7,,,,,4.02475,,,,,,,,,,,,,,
21,,10,2004,19.45,,,,,,,,,,,,,,,,,,,,,4.85,,19.3,,,,,7.14499,,,,,,,,,,,,,,
22,,10,2004,7.676,,,,,,,,,,,,,,,,,,,,,7.36,,77.6,,,,,5.25091,,,,,,,,,,,,,,
23,,10,2004,7.366,,,,,,,,,,,,,,,,,,,,,8.07,,283,,,,,5.01499,,,,,,,,,,,,,,
24,,10,2004,7.053,,,,,,,,,,,,,,,,,,,,,8.07,,151,,,,,16.29307,,,,,,,,,,,,,,
25,,10,2004,30.43,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,9.54971,,,,,,,,,,,,,,
26,,10,2004,6.209,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,12.56027,,,,,,,,,,,,,,
1,,4,2005,6.261,,,,,,,,,,,,,,,,,,,,,7.64,,320,,,,,13.19924,,,,,,,,,,,,,,
2,,4,2005,7.565,,,,,,,,,,,,,,,,,,,,,7.66,,323,,,,,6.96114,,,,,,,,,,,,,,
3,,4,2005,8.889,,,,,,,,,,,,,,,,,,,,,7.24,,240,,,,,6.117765,,,,,,,,,,,,,,
4,,4,2005,7.379,,,,,,,,,,,,,,,,,,,,,7.57,,365,,,,,7.84233,,,,,,,,,,,,,,
5,,4,2005,8.661,,,,,,,,,,,,,,,,,,,,,7.71,,336,,,,,6.85209,,,,,,,,,,,,,,
6,,4,2005,7.803,,,,,,,,,,,,,,,,,,,,,7.78,,357,,,,,14.151665,,,,,,,,,,,,,,
7,,4,2005,10.24,,,,,,,,,,,,,,,,,,,,,7.44,,348,,,,,6.411495,,,,,,,,,,,,,,
8,,4,2005,10.08,,,,,,,,,,,,,,,,,,,,,7.7,,375,,,,,11.38087,,,,,,,,,,,,,,
9,,4,2005,8.382,,,,,,,,,,,,,,,,,,,,,7.79,,440,,,,,7.824155,,,,,,,,,,,,,,
10,,4,2005,8.713,,,,,,,,,,,,,,,,,,,,,7.88,,394,,,,,15.178255,,,,,,,,,,,,,,
11,,4,2005,4.252,,,,,,,,,,,,,,,,,,,,,7.62,,250,,,,,9.52908,,,,,,,,,,,,,,
12,,4,2005,2.574,,,,,,,,,,,,,,,,,,,,,8.02,,334,,,,,6.99749,,,,,,,,,,,,,,
13,,4,2005,6.136,,,,,,,,,,,,,,,,,,,,,7.84,,227,,,,,7.015665,,,,,,,,,,,,,,
14,,4,2005,5.473,,,,,,,,,,,,,,,,,,,,,7.9,,598,,,,,31.486725,,,,,,,,,,,,,,
15,,4,2005,10.63,,,,,,,,,,,,,,,,,,,,,7.64,,613,,,,,21.251315,,,,,,,,,,,,,,
16,,4,2005,7.879,,,,,,,,,,,,,,,,,,,,,7.78,,483,,,,,17.086035,,,,,,,,,,,,,,
17,,4,2005,18.07,,,,,,,,,,,,,,,,,,,,,7.8,,301,,,,,20.29889,,,,,,,,,,,,,,
18,,4,2005,5.761,,,,,,,,,,,,,,,,,,,,,7.77,,434,,,,,11.164235,,,,,,,,,,,,,,
19,,4,2005,7.073,,,,,,,,,,,,,,,,,,,,,7.75,,346,,,,,6.540185,,,,,,,,,,,,,,
20,,4,2005,10.58,,,,,,,,,,,,,,,,,,,,,4.58,,25.6,,,,,2.559585,,,,,,,,,,,,,,
21,,4,2005,3.215,,,,,,,,,,,,,,,,,,,,,4.82,,20.3,,,,,4,,,,,,,,,,,,,,
22,,4,2005,5.734,,,,,,,,,,,,,,,,,,,,,7.1,,81.2,,,,,8.02701,,,,,,,,,,,,,,
23,,4,2005,4.771,,,,,,,,,,,,,,,,,,,,,7.61,,292,,,,,4.48554,,,,,,,,,,,,,,
24,,4,2005,5.439,,,,,,,,,,,,,,,,,,,,,7.4,,190,,,,,4.81562,,,,,,,,,,,,,,
25,,4,2005,6.35,,,,,,,,,,,,,,,,,,,,,4.58,,20.2,,,,,1.770735,,,,,,,,,,,,,,
26,,4,2005,5.792,,,,,,,,,,,,,,,,,,,,,5.83,,24.1,,,,,4.579345,,,,,,,,,,,,,,
1,,8,2005,5.757,3.697551882,1.049923021,0.556304442,1.463816303,14.38147618,0.934986734,,,,,,,,2.335861036,,,,,,,8,,360,,545,1.071205,19,8.70456,,,,,,,,,,,,,,
2,,8,2005,15.366,9.529646174,1.006218726,0.598258271,1.266145497,13.32499666,0.930191956,,,,,,,,2.662565376,,0,,,,,8,,390,,907,9.43865,21,38.92762,,,,,,,,,,,,,,
3,,8,2005,10.831,9.37493581,0.930234694,0.514929171,1.444935136,21.4314316,0.955419698,,,,,,,,3.082965794,,0,,,,,8.16,,286,,546,1.53439,21,6.462275,,,,,,,,,,,,,,
4,,8,2005,6.377,7.618355638,1.044097012,0.61244359,1.414662154,8.028836996,0.889243764,,,,,,,,3.999010356,,,,,,,8.27,,335,,705,4.726495,20,16.883105,,,,,,,,,,,,,,
