"ASN.SITE.NO","DAY","MONTH","YEAR","DOC","A350","SR","BA","FI","HIXOHNO","C1","C2","C3","C4","C5","C6","C7","SUVA254","DISC","DO","pH","S.COND","SRP","TDN","TDP","TEMP","TP","TSS","A254","Cth","Cmh","Cmp","Cf"
1,NA,10,2004,9.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66,241,NA,NA,NA,NA,20.76467,NA,NA,NA,NA,NA,NA
2,NA,10,2004,12.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,297,NA,NA,NA,NA,10.76035,NA,NA,NA,NA,NA,NA
3,NA,10,2004,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.63,189,NA,NA,NA,NA,0.89675,NA,NA,NA,NA,NA,NA
4,NA,10,2004,13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.81,323,NA,NA,NA,NA,5.83243,NA,NA,NA,NA,NA,NA
5,NA,10,2004,18.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.51,366,NA,NA,NA,NA,13.51067,NA,NA,NA,NA,NA,NA
6,NA,10,2004,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,363,NA,NA,NA,NA,2.54715,NA,NA,NA,NA,NA,NA
7,NA,10,2004,14.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,382,NA,NA,NA,NA,3.60827,NA,NA,NA,NA,NA,NA
8,NA,10,2004,9.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71,344,NA,NA,NA,NA,13.09419,NA,NA,NA,NA,NA,NA
9,NA,10,2004,12.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,379,NA,NA,NA,NA,5.50235,NA,NA,NA,NA,NA,NA
10,NA,10,2004,14.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22,405,NA,NA,NA,NA,11.10595,NA,NA,NA,NA,NA,NA
11,NA,10,2004,6.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38,151,NA,NA,NA,NA,3.60827,NA,NA,NA,NA,NA,NA
12,NA,10,2004,3.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39,289,NA,NA,NA,NA,1.22683,NA,NA,NA,NA,NA,NA
13,NA,10,2004,5.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11,268,NA,NA,NA,NA,2.2164,NA,NA,NA,NA,NA,NA
