Sample Name,Month,Date,Year,DOC (mg/L),A350,BA,C1,C2,C3,C4,C5,C6,C7,E280,E280_oldmeth,FI,HIX,HIX.OHNO,SR,SUVA254,Chla,Discharge,DO,FieldNotes,NH4,NO3,pH,Salinity,SpCond,SRP,TDN,TDP,Temp,Time,TP,TSS,DIC,,
1,October,,2004,9.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.66,,241,,,NA,,,20.76467,,,,
2,October,,2004,12.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.78,,297,,,NA,,,10.76035,,,,
3,October,,2004,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.63,,189,,,NA,,,0.89675,,,,
4,October,,2004,13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.81,,323,,,NA,,,5.83243,,,,
5,October,,2004,18.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.51,,366,,,NA,,,13.51067,,,,
6,October,,2004,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.05,,363,,,NA,,,2.54715,,,,
7,October,,2004,14.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.89,,382,,,NA,,,3.60827,,,,
8,October,,2004,9.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.71,,344,,,NA,,,13.09419,,,,
9,October,,2004,12.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.86,,379,,,NA,,,5.50235,,,,
10,October,,2004,14.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.22,,405,,,NA,,,11.10595,,,,
11,October,,2004,6.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.38,,151,,,NA,,,3.60827,,,,
12,October,,2004,3.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.39,,289,,,NA,,,1.22683,,,,
13,October,,2004,5.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.11,,268,,,NA,,,2.2164,,,,
14,October,,2004,7.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.98,,472,,,NA,,,11.67195,,,,
15,October,,2004,15.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.01,,618,,,NA,,,101.17331,,,,
16,October,,2004,5.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.33,,332,,,NA,,,19.37347,,,,
